name,disclaimer,description,claim_title,claim_description,claim_reference
Rhodiola,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Rhodioa Rosea is a small plant with yellow flowers that grows in the harsh artic regions of Europe and Asia. Its first recorded medical usage dates back to 77 C.E. in De Materia Medica. It is often called “golden root” because of its color or “roseroot” because of the rose-like fragrance it gives off when it is cut. Rhodiola has been used it traditional medicine for improving mood, enhancing energy, and stress relief. This adaptogenic herb and has the ability to increase its resistance against chemical, biological and physical stressors.  ",Endurance and Recovery,"Rhodiola has been studied recently for its benefits in sports nutrition. A 4-week study  in 2004 found some mixed results. This double-blind, placebo-controlled study found improvements in the VO2 max for the rhodiola group compared to placebo; however, it found no changes in muscle strength, speed of limb movement, reaction time, and attention.Another study in 2004 found positive results for rhodiola as an anti-inflammatory after exercise. This study put 36 untrained, healthy volunteers through exhausting physical exercise tests carried out on a computer-aided bicycle ergometer. The group being given rhodiola showed lowered levels of c-reactive protein and creatine kinase after 5 days of exercise, whereas the placebo group experienced higher levels of the inflammatory markers. These results are encouraging towards rhodiola improving recovery rate. 
","[<li class=""reference"" data-id=""rhodiola-endurance-IJSEM-2004""><div class=""reference__title"">Acute Rhodiola rosea intake can improve endurance exercise performance.</div><div class=""reference__authors"">De Bock K, Eijnde BO, Ramaekers M, Hespel P., </div><div class=""reference__journal"">International journal of sport nutrition and exercise metabolism, </div><div class=""reference__year"">2004</div></li>, <li class=""reference"" data-id=""rhodiola-inflammation-exercise-2004-biology-medicine""><div class=""reference__title"">Extract of Rhodiola rosea radix reduces the level of C-reactive protein and creatinine kinase in the blood.</div><div class=""reference__authors"">Abidov M, Grachev S, Seifulla RD, Ziegenfuss TN., </div><div class=""reference__journal"">Bulletin of experimental biology and medicine, </div><div class=""reference__year"">2004</div></li>]"
Kanna,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"The succulent herb kanna is indigenous to South-Africa and was used for centuries by the indigenous hunter-gatherer San people to support cognitive focus and memory. Scientific research on Kanna is emerging, but more is needed to determine the herb’s impact on brain health.",Cognitive Support,"In a randomized placebo-controlled cross-over study, 21 human subjects took 25 mg Sceletium tortuosum (Kanna) extract or placebo once daily / 9 weeks. Kanna-treated subjects and placebo-treated subjects were administered the CNS Vital SignR battery of neuropsychological tests at baseline and at the end of the treatment period. Cognitive domains were derived from CNS Vital SignR tests. Kanna significantly improved cognitive flexibility, and executive function as compared with placebo. More studies should be performed to confirm and expand the results of this study.1  

In a double-Blind, randomized, placebo-controlled, 3-Armed study with parallel design 60 healthy adult subjects took a single dose (25 mg) Sceletium tortuosum (Kanna) extract or placebo. A 17-channel EEG recording was combined with Eye-Tracking before dose intake, and again 120 minutes following intake. In comparison to placebo, Kanna induced enhanced increases in power of frontal delta, theta, alpha1 and alpha2 frequencies during several tasks. Since increases in these frequencies in the frontal brain have been related to attention and memory, these results may represent a positive action on cognitive actions in the brain. More studies should be performed to confirm and expand the results of this study.2","[<li class=""reference"" data-id=""kanna-cognitive-mood-25mg-hamd-vital-signr""><div class=""reference__title"">Proof-of-Concept Randomized Controlled Study of Cognition Effects of (a) Proprietary Extract (of) Sceletium tortuosum Targeting Phosphodiesterase-4 in Cognitively Healthy Subjects</div><div class=""reference__authors"">Chiu S, Gericke N, </div><div class=""reference__journal"">Evidence-Based Complementary and Alternative Medicine, </div><div class=""reference__year"">2014</div></li>, <li class=""reference"" data-id=""kanna-25mg-eye-tracking-cognitive""><div class=""reference__title"">Psychophysiological Effects of (Proprietary Extract of Sceletium tortuosum) Using Quantitative EEG Source Density in Combination with Eye-Tracking in 60 Healthy Subjects. A Double-Blind, Randomized, Placebo-Controlled,3-Armed Study with Parallel Design.</div><div class=""reference__authors"">Dimpfel W, Gericke N, </div><div class=""reference__journal"">Neuroscience and Medicine, </div><div class=""reference__year"">2016</div></li>]"
Kanna,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"The succulent herb kanna is indigenous to South-Africa and was used for centuries by the indigenous hunter-gatherer San people to support cognitive focus and memory. Scientific research on Kanna is emerging, but more is needed to determine the herb’s impact on brain health.",Mood,"In a randomized placebo-controlled cross-over study, 21 human subjects took 25 mg Sceletium tortuosum (Kanna) extract or placebo once daily for 9 weeks. Kanna-treated subjects and placebo-treated subjects were administered battery of neuropsychological tests, including CNS Vital Signs and Hamilton depression rating scale (HAM-D) at baseline and regular intervals. Kanna-treated subjects reported a larger decrease in HAM-D scores when compared to the placebo-treated group. More studies should be performed to confirm and expand the results of this study.1","[<li class=""reference"" data-id=""kanna-cognitive-mood-25mg-hamd-vital-signr""><div class=""reference__title"">Proof-of-Concept Randomized Controlled Study of Cognition Effects of (a) Proprietary Extract (of) Sceletium tortuosum Targeting Phosphodiesterase-4 in Cognitively Healthy Subjects</div><div class=""reference__authors"">Chiu S, Gericke N, </div><div class=""reference__journal"">Evidence-Based Complementary and Alternative Medicine, </div><div class=""reference__year"">2014</div></li>]"
Turmeric,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Turmeric (Curcuma longa) is a traditional Indian herb, also sometimes known as Indian saffron or “yellow ginger”. It has been used for centuries in Indian and Chinese medicine for digestive health and to treat menstrual pain and urinary tract problems. Clinical research has focused around the herb’s effect on joint and brain health. Turmeric isn’t only used for its medicinal purposes - it is used in many foods as a coloring and spice, in fact, it gives curry powder its yellow color and some of its flavor. ",Joints,"Recent studies have focused on turmeric and its active constituent, curcuminoids, as a powerful ingredient for joint health. 40 patients with mild to moderate knee osteoarthritis were recruited to participate in a 2013 double-blind, placebo-controlled study. The study found that curcuminoids improved pain symptoms and physical function but did not improve stiffness.A larger study on 107 patients with knee osteoarthritis was performed in 2009. Patients were split into two groups and given 800mg of ibuprofen or 2g of turmeric curcumin per day. Over 6 weeks, improvements were found in both groups in pain on level walking, pain on stairs, and functions of the knee. 
","[<li class=""reference"" data-id=""curcuminoid-osteoarthritis-2014-phytomedicine""><div class=""reference__title"">Curcuminoid treatment for knee osteoarthritis: a randomized double-blind placebo-controlled trial.</div><div class=""reference__authors"">Panahi Y, Rahimnia AR, Sharafi M, Alishiri G, Saburi A, Sahebkar A., </div><div class=""reference__journal"">Phytotherapy Research, </div><div class=""reference__year"">2014</div></li>, <li class=""reference"" data-id=""curcumin-osteoarthritis-2009-JACM""><div class=""reference__title"">Efficacy and safety of Curcuma domestica extracts in patients with knee osteoarthritis.
</div><div class=""reference__authors"">Kuptniratsaikul V1, Thanakhumtorn S, Chinswangwatanakul P, Wattanamongkonsil L, Thamlikitkul V., </div><div class=""reference__journal"">Journal of Alternative and Complementary Medicine, </div><div class=""reference__year"">2009</div></li>]"
Turmeric,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Turmeric (Curcuma longa) is a traditional Indian herb, also sometimes known as Indian saffron or “yellow ginger”. It has been used for centuries in Indian and Chinese medicine for digestive health and to treat menstrual pain and urinary tract problems. Clinical research has focused around the herb’s effect on joint and brain health. Turmeric isn’t only used for its medicinal purposes - it is used in many foods as a coloring and spice, in fact, it gives curry powder its yellow color and some of its flavor. ",Mood,"56 patients with major depressive disorder were recruited for an 8-week study on the effect of turmeric curcumin. Patients were given 1,000mg of turmeric curcumin per day or a placebo. During weeks 4 through 8, curcumin was significantly more effective than placebo in improving several mood-related symptoms, but did not improve anxiety to a significant degree. ","[<li class=""reference"" data-id=""curcumin-depression-2014-affective-disorders""><div class=""reference__title"">Curcumin for the treatment of major depression: a randomised, double-blind, placebo-controlled study</div><div class=""reference__authors"">Lopresti AL, Maes M, Maker GL, Hood SD, Drummond PD., </div><div class=""reference__journal"">Journal of affective disorders, </div><div class=""reference__year"">2014</div></li>]"
Elderberry,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Elderberry (Sambucus nigra) is native to North Africa, Europe and Asia. The berries grow on deciduous trees that can reach 30 feet in height and bloom in late summer or early fall. The earliest references to elderberry for medicinal purposes can be traced back to Hippocrates circa 470-410 BCE.  It has been used in traditionally for immune health, and recently, promising clinical research has emerged to confirm this usage. In addition to its medicinal purposes, elderberries have been used for flavoring, and to make wines and pies. ",Immune,"Elderberry has been the subject of strong clinical research both in-vitro and in-vivo in recent years. An in-vitro study found that elderberry extract binds to H1N1 virions (swine flu particles) and blocks the ability of the virus to infect host cells. This activity is similar to that of well-known anti-influenza drugs, such as oseltamivir, the generic form of Tamiflu®, and amantadine. Another study showed elderberry to possess antimicrobial activity against both gram-positive bacteria and gram-negative bacteria in liquid cultures. The elderberry extract also displayed an inhibitory effect on the propagation of human pathogenic influenza viruses.A study on the immune effects of elderberry was conducted on people who travel by air and are particularly susceptible to colds and upper-respiratory infections. A 2009 study evaluated passengers traveling from Australia; the 312 passengers were split into two groups, one receiving placebo, and another receiving 900mg per day of elderberry extract. The participants were tested at baseline, just before travel, and again 4 days after travel. There were more cold episodes in the placebo group; however, not a significant amount more (17 in the placebo group, 12 in the elderberry group). Elderberry takers did show a much shorter duration of their cold symptoms: those in the placebo group spent 117 days feeling sick, and those in the elderberry group spent 57 days feeling sick.","[<li class=""reference"" data-id=""elderberry-H1N1-phytochemistry-2009""><div class=""reference__title"">Elderberry flavonoids bind to and prevent H1N1 infection in vitro.</div><div class=""reference__authors"">Roschek B Jr, Fink RC, McMichael MD, Li D, Alberte RS., </div><div class=""reference__journal"">Phytochemistry, </div><div class=""reference__year"">2009</div></li>, <li class=""reference"" data-id=""elderberry-air-travel-nutrients-2016""><div class=""reference__title"">Elderberry Supplementation Reduces Cold Duration and Symptoms in Air-Travellers: A Randomized, Double-Blind Placebo-Controlled Clinical Trial.</div><div class=""reference__authors"">Tiralongo E, Wee SS, Lea RA., </div><div class=""reference__journal"">Nutrients, </div><div class=""reference__year"">2016</div></li>, <li class=""reference"" data-id=""elderberry-influenza-BMC-2011""><div class=""reference__title"">Inhibitory activity of a standardized elderberry liquid extract against clinically-relevant human respiratory bacterial pathogens and influenza A and B viruses.</div><div class=""reference__authors"">Krawitz C, Mraheil MA, Stein M, Imirzalioglu C, Domann E, Pleschka S, Hain T., </div><div class=""reference__journal"">BMC complementary and alternative medicine, </div><div class=""reference__year"">2011</div></li>]"
Milk Thistle,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Milk thistle is a popular supplement in Germany, which is where many of the clinical studies on the herb have been performed. It is the most studied herb in the world for liver health, and has been used in traditional medicine for over 2,000 years. The Roman naturalist, Pliny the Elder, even spoke about the beneficial effects in the first century. Silymarin is the active constituent of milk thistle, and it can be found in the plant’s seeds, leaves, and flowers. Found in Europe and the United States, it can be recognized by its beautiful purple flower and sharp spine. ",Liver Health,"Human StudiesA 1989 study published in the Journal of Hepatology examined the effect on milk thistle on 170 patients with cirrhosis of the liver. It examined the survival rate of patients given milk thistle or a placebo over a 41-month period. The results show a significant improvement in survival rate for milk thistle patients with fewer overall deaths and deaths related to liver disease. Milk thistle was especially effective in patients with alcoholic cirrhosis.Human studies on milk thistle tend to center around people who are already suffering with liver problems. Some chemotherapy drugs have a damaging effect on the liver; a 2015 study attempted to examine whether milk thistle could help people receiving chemotherapy. The study observed levels of harmful liver-damaging enzymes in a group taking a placebo and a group taking milk thistle. The milk thistle patients exhibited lower levels of liver enzymes detecting damage: SGOT, SGPT, and bilirubin.Animal StudiesThere have been many animal studies performed to try to prove the efficacy of milk thistle. One study on wistar rats showed that milk thistle protects against liver damage. Rats were given CCl4 or CCl4 and milk thistle. The rats given milk thistle group showed a decrease in MDA, a harmful oxidative stress marker in the liver. A mouse study found milk thistle to have a preventative effect against acute liver injury, in part due to its antioxidant and anti-inflammatory properties.Meta-AnalysisIn 2008, a meta-analysis on the effect of milk thistle in liver disease was published in “Research in Complementary Medicine”. The analysis found 19 clinical studies, all of which were double-blind or single-blind human studies. Lower mortality rates, and liver failures were found in the milk thistle patients when compared to placebo; however, results regarding milk thistle’s ability to treat alcoholic liver disease were mixed and inconclusive. Additionally, the researchers determined that milk thistle has no effect on liver disease caused by viral hepatitis. 
","[<li class=""reference"" data-id=""milk-thistle-liver-rats-2014-life-sciences""><div class=""reference__title"">Milk Thistle impedes the development of carbontetrachlorid-induced liver damage in rats through suppression of bcl-2 and regulating caspase pathway</div><div class=""reference__authors"">Aslan A,  Can MI., </div><div class=""reference__journal"">Life sciences, </div><div class=""reference__year"">2014</div></li>, <li class=""reference"" data-id=""milk-thistle-cirrhosis-hepatology-1989""><div class=""reference__title"">Randomized controlled trial of silymarin treatment in patients with cirrhosis of the liver.</div><div class=""reference__authors"">Ferenci P, Dragosics B, Dittrich H, Frank H, Benda L, Lochs H, Meryn S, Base W, Schneider B., </div><div class=""reference__journal"">Journal of hepatology, </div><div class=""reference__year"">1989</div></li>, <li class=""reference"" data-id=""milk-thistle-liver-EJIM-2015""><div class=""reference__title"">Silymarin (Milk Thistle) can revoke liver enzyme changes during chemotherapy of breast cancer with Taxanes</div><div class=""reference__authors"">Mohaghegh F, Solhi H, and Kazemifar AM. , </div><div class=""reference__journal"">European journal of integrative medicine, </div><div class=""reference__year"">2015</div></li>, <li class=""reference"" data-id=""milk-thistle-liver-2016-molecules""><div class=""reference__title"">Silymarin Prevents Restraint Stress-Induced Acute Liver Injury by Ameliorating Oxidative Stress and Reducing Inflammatory Response. </div><div class=""reference__authors"">Kim SH, Oh DS, Oh JY, Son TG, Yuk DY, Jung YS., </div><div class=""reference__journal"">Molecules, </div><div class=""reference__year"">2016</div></li>, <li class=""reference"" data-id=""milk-thistle-liver-meta-analysis-2008""><div class=""reference__title"">An updated systematic review with meta-analysis for the clinical evidence of silymarin.</div><div class=""reference__authors"">Saller R, Brignoli R, Melzer J, Meier R., </div><div class=""reference__journal"">Forsch Komplementärmed, </div><div class=""reference__year"">2008</div></li>]"
Garlic,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Garlic is cultivated all over the world and used universally as a spice and food. It is difficult to go out to eat in the United States without getting a dish seasoned with garlic. Garlic isn’t only used for its flavor - it has been used as a remedy for various ailments since the ancient and middle centuries. In fact, King Tutankhamen’s tomb was found with cloves of garlic in it when it was excavated. The Codex Ebers, a revered text from ancient Egypt, is one of the oldest written records prescribing garlic for abnormal growths, circulatory ailments, general malaise and infestations with insects and parasites.",Heart,"In 1997, a clinical study examined the effects of garlic and fish oil on patients with high cholesterol. Patients were split into four groups: (1) garlic, (2) fish oil, (3) garlic and fish oil, and(4) placebo. The placebo group did not see changes in their cholesterol or triglyceride levels. Total cholesterol and LDL-C were lowered for the garlic group and the garlic and fish oil group, but not in the fish oil group. Garlic taken by itself did not have any effect on triglyceride levels. An earlier study in 1993 also found that 12 weeks of garlic supplementation reduced total cholesterol and LDL-cholesterol, but did not affect HDL-cholesterol or triglycerides.A meta-analysis was performed in 2008. Medline and Embase databases were searched for all randomized, placebo-controlled studies on garlic for blood pressure from 1955 to 2007. 11 studies met the criteria and were reviewed. The conclusion of the analysis is that garlic is a successful treatment for patients with hypertension. Another study on garlic for hypertension was performed after the 2008 meta-analysis. This 2013 study found that garlic reduced systolic and diastolic blood pressure over a 24-week period.
","[<li class=""reference"" data-id=""Garlic-fish-oil-cholesterol-1997-AJCN""><div class=""reference__title"">Effect of garlic and fish-oil supplementation on serum lipid and lipoprotein concentrations in hypercholesterolemic men.</div><div class=""reference__authors"">Adler AJ, Holub BJ., </div><div class=""reference__journal"">The American Journal of Clinical Nutrition, </div><div class=""reference__year"">1997</div></li>, <li class=""reference"" data-id=""garlic-hypertension-meta-bmc-2008""><div class=""reference__title"">Effect of garlic on blood pressure: A systematic review and meta-analysis</div><div class=""reference__authors"">Ried K, Frank OR, Stocks NP, Fakler P, and Sullivan T., </div><div class=""reference__journal"">BMC Cardiovascular Disorders, </div><div class=""reference__year"">2008</div></li>, <li class=""reference"" data-id=""garlic-blood-pressure-pakistan-2013""><div class=""reference__title"">Effects of Allium sativum (garlic) on systolic and diastolic blood pressure in patients with essential hypertension.</div><div class=""reference__authors"">Ashraf R, Khan RA, Ashraf I, Qureshi AA., </div><div class=""reference__journal"">Pakistan journal of pharmaceutical sciences, </div><div class=""reference__year"">2013</div></li>, <li class=""reference"" data-id=""garlic-ldl-cholesterol-1993-AJM""><div class=""reference__title"">Can garlic reduce levels of serum lipids? a controlled clinical study.</div><div class=""reference__authors"">Jain AK, Vargas R, Gotzkowsky S, McMahon FG., </div><div class=""reference__journal"">The American Journal of Medicine, </div><div class=""reference__year"">1993</div></li>]"
Garlic,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Garlic is cultivated all over the world and used universally as a spice and food. It is difficult to go out to eat in the United States without getting a dish seasoned with garlic. Garlic isn’t only used for its flavor - it has been used as a remedy for various ailments since the ancient and middle centuries. In fact, King Tutankhamen’s tomb was found with cloves of garlic in it when it was excavated. The Codex Ebers, a revered text from ancient Egypt, is one of the oldest written records prescribing garlic for abnormal growths, circulatory ailments, general malaise and infestations with insects and parasites.",Immune,"Garlic has been taken for centuries for its immune system properties, and clinical research has attempted to confirm its traditional usage. 146 volunteers participated in a 2001 study on garlic for cold and flu prevention. The placebo group recorded 65 incidences of cold symptoms during the 12-week trial, compared to only 24 incidences of cold symptoms among the treatment group. Placebo patients also reported 366 sick days, compared to only 111 days in the treatment group. This study suggests garlic prevents colds and helps people recover quicker from symptoms.Another double-blind, placebo-controlled study examined 120 healthy subjects for 90 days. The groups did not show a difference in incidence of cold; however, the garlic extract appeared to reduce severity of symptoms, number of days sick, and number of work or school days missed. A 2016 study on the same number of subjects found almost identical results. ","[<li class=""reference"" data-id=""garlic-colds-2001-advances-therapy""><div class=""reference__title"">Preventing the common cold with a garlic supplement: a double-blind, placebo-controlled survey.</div><div class=""reference__authors"">Josling P, </div><div class=""reference__journal"">Advances in therapy, </div><div class=""reference__year"">2001</div></li>, <li class=""reference"" data-id=""garlic-cold-flu-2012-clinical-nutrition""><div class=""reference__title"">Supplementation with aged garlic extract improves both NK and γδ-T cell function and reduces the severity of cold and flu symptoms: a randomized, double-blind, placebo-controlled nutrition intervention.</div><div class=""reference__authors"">Nantz MP, Rowe CA, Muller CE, Creasy RA, Stanilka JM, Percival SS., </div><div class=""reference__journal"">Clinical Nutrition, </div><div class=""reference__year"">2012</div></li>, <li class=""reference"" data-id=""garlic-immune-2016-journal-of-nutrition""><div class=""reference__title"">Aged Garlic Extract Modifies Human Immunity</div><div class=""reference__authors"">Percival SS. , </div><div class=""reference__journal"">The Journal of Nutrition, </div><div class=""reference__year"">2016</div></li>]"
Evening Primrose,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Native Americans have been using evening primrose oil for centuries, which is native to North America and Europe. In supplement form, evening primrose oil is normally derived from the seeds of the plant. It has been studied for its effects on eczema and menopause, but results have been mixed. ",Skin,"50 patients with atopic dermatitis were recruited for a 2008 study and given evening primrose oil or a placebo over a 5 month period. At the end of the trial, 24 of the 25 patients in the evening primrose oil group showed improvement in eczema symptom relief. A smaller study from 1987 found evening primrose oil to reduce inflammation in eczema patients. ","[<li class=""reference"" data-id=""EPO-2008-indian-journal""><div class=""reference__title"">Evening primrose oil is effective in atopic dermatitis: a randomized placebo-controlled trial.</div><div class=""reference__authors"">Senapati S, Banerjee S, Gangopadhyay DN., </div><div class=""reference__journal"">Indian Journal of Dermatology, Venereology and Leprology, </div><div class=""reference__year"">2008</div></li>, <li class=""reference"" data-id=""EPO-1987-british-journal""><div class=""reference__title"">Evening primrose oil in the treatment of atopic eczema: effect on clinical status, plasma phospholipid fatty acids and circulating blood prostaglandins.</div><div class=""reference__authors"">Schalin-Karrila M, Mattila L, Jansen CT, Uotila P., </div><div class=""reference__journal"">The British Journal of Dermatology, </div><div class=""reference__year"">1987</div></li>]"
Probiotic Blend,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Probiotics are one of the fastest growing supplements categories in the United States, widely touted for their beneficial gastrointestinal properties. They are found in yogurt, kefir, kombucha, sauerkraut, kimchi, and other foods. Given their recent popularity, more and more  foods and drinks are now being fortified with beneficial bacteria. The most popular families of probiotics are Lactobacillus and Bifidobacterium. There are thousands of different strains of probiotics; our probiotic includes two highly studied strains: Bifidobacterium lactis Bl-04, and Lactobacillus acidophilus NCFM. We review some of the findings of these studies below. ",Digestion,"There are thousands of studies on thousands of different probiotic strains. Here, we focus on studies that review the efficacy of *Bifidobacterium lactis* Bl-04 and *Lactobacillus acidophilus* NCFM.It has been well established that antibiotics can induce diarrhea and digestive disturbances. A 2009 clinical study gave 40 volunteers a probiotic mixture or a placebo and studied their digestive health during and after antibiotic use. The test revealed that post-antibiotic fecal microbiota in probiotic-consuming subjects were more similar to the baseline microbiota than the control group. This study concludes the probiotics bolster a more rapid return to pre-antibiotic baseline fecal bacterial microbiota. Simply put, probiotics helped people return to normal digestive health after taking antibiotics.A more recent study was performed on a larger test group of 503 subjects. Patients on antibiotics were given probiotics or a placebo and studied up until 7 days after final antibiotic usage. Between the three groups, 12.5% - 19.6% of probiotic patients experienced antibiotic-associated diarrhea (AAD), while 24.6% of the placebo group struggled with AAD. Another digestive issue, C. difficile-associated disease (CDAD), which is often triggered by antibiotics, was less prevalent in the group taking probiotics. Patients taking probiotics also experienced lower incidence of liquid stools, fever, abdominal pain and bloating. 
","[<li class=""reference"" data-id=""probiotics-antibiotic-medical-microbiology-2009""><div class=""reference__title"">Probiotics to minimize the disruption of faecal microbiota in healthy subjects undergoing antibiotic therapy.</div><div class=""reference__authors"">Engelbrektson A, Korzenik JR, Pittler A, Sanders ME, Klaenhammer TR, Leyer G, Kitts CL., </div><div class=""reference__journal"">Journal of medical microbiology, </div><div class=""reference__year"">2009</div></li>, <li class=""reference"" data-id=""probiotics-AAD-2014-vaccine""><div class=""reference__title"">Probiotics reduce symptoms of antibiotic use in a hospital setting: a randomized dose response study.</div><div class=""reference__authors"">Ouwehand AC, DongLian C, Weijian X, Stewart M, Ni J, Stewart T, Miller LE., </div><div class=""reference__journal"">Vaccine, </div><div class=""reference__year"">2014</div></li>]"
Probiotic Blend,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Probiotics are one of the fastest growing supplements categories in the United States, widely touted for their beneficial gastrointestinal properties. They are found in yogurt, kefir, kombucha, sauerkraut, kimchi, and other foods. Given their recent popularity, more and more  foods and drinks are now being fortified with beneficial bacteria. The most popular families of probiotics are Lactobacillus and Bifidobacterium. There are thousands of different strains of probiotics; our probiotic includes two highly studied strains: Bifidobacterium lactis Bl-04, and Lactobacillus acidophilus NCFM. We review some of the findings of these studies below. ",,"A pilot study in 2008 examined the effect of seven different probiotic strains on the immune system of 83 healthy adults. They studied immune markers in their subjects and found that the placebo and treatment groups showed similar IgA concentrations However, IgG levels were increased in the subjects taking Bifidobacterium lactis Bl-04 and Lactobacillus acidophilus La-14. Six of the seven strains also showed improvements in immunoglobulin serum concentrations compared with controls.","[<li class=""reference"" data-id=""probiotic-immune-vaccine-2008-FEMS""><div class=""reference__title"">Effects of seven potential probiotic strains on specific immune responses in healthy adults: a double-blind, randomized, controlled trial.</div><div class=""reference__authors"">Paineau D, Carcano D, Leyer G, Darquy S, Alyanakian MA, Simoneau G, Bergmann JF, Brassart D, Bornet F, Ouwehand AC., </div><div class=""reference__journal"">FEMS immunology and medical microbiology, </div><div class=""reference__year"">2008</div></li>]"
Probiotic Blend,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,"Probiotics are one of the fastest growing supplements categories in the United States, widely touted for their beneficial gastrointestinal properties. They are found in yogurt, kefir, kombucha, sauerkraut, kimchi, and other foods. Given their recent popularity, more and more  foods and drinks are now being fortified with beneficial bacteria. The most popular families of probiotics are Lactobacillus and Bifidobacterium. There are thousands of different strains of probiotics; our probiotic includes two highly studied strains: Bifidobacterium lactis Bl-04, and Lactobacillus acidophilus NCFM. We review some of the findings of these studies below. ",Immune System,"A randomized, double-blind, placebo-controlled study found consumers taking *Bifidobacterium lactis* Bl-04 had experienced lower risk of upper respiratory infection than a placebo group. Another probiotic blend in the study did not show results comparable to *Bifidobacterium lactis* Bl-04.","[<li class=""reference"" data-id=""probiotic-2014-clinical-nutrition-URTI""><div class=""reference__title"">Probiotic supplementation for respiratory and gastrointestinal illness symptoms in healthy physically active individuals.</div><div class=""reference__authors"">West NP, Horn PL, Pyne DB, Gebski VJ, Lahtinen SJ, Fricker PA, Cripps AW., </div><div class=""reference__journal"">Clinical nutrition, </div><div class=""reference__year"">2014</div></li>]"
S. boulardii,This scientific research is for informational use only. The results reported may not necessarily occur in all individuals. Care/of provides this information as a service. This information should not be read to recommend or endorse any specific products.,Saccharomyces boulardii is a yeast studied for its benefits for the digestive system. It is a variation on the strain Saccharomyces cervisiae. This yeast has been used for over 30 years as a treatment for diarrhea. ,Digestive problems,"*Candida albicans* is a fungus that naturally grows in the human body, but if its numbers become too large it can cause gastrointestinal infections. *Saccharomyces boulardii* was tested for its ability to counterbalance *Candida albicans* and was found to diminish the activity of the harmful fungus.The ability of *Saccharomyces boulardii* to reduce antibiotic-associated diarrhea (AAD) was tested in a human double-blind, placebo-controlled study in 1995. In the group receiving *Saccharomyces boulardii*, 7 of 97 (7.2%) of the patients experienced diarrhea, whereas 14 of 96 (14.6%) of the placebo group experienced diarrhea. 

","[<li class=""reference"" data-id=""s-boulardii-c-albicans-FEMS-2009""><div class=""reference__title"">The antagonistic effect of Saccharomyces boulardii on Candida albicans filamentation, adhesion and biofilm formation.</div><div class=""reference__authors"">Krasowska A, Murzyn A, Dyjankiewicz A, Łukaszewicz M, Dziadkowiec D., </div><div class=""reference__journal"">FEMS yeast research, </div><div class=""reference__year"">2009</div></li>, <li class=""reference"" data-id=""s-boulardii-antibiotic-gastro-1995""><div class=""reference__title"">Prevention of beta-lactam-associated diarrhea by Saccharomyces boulardii compared with placebo.</div><div class=""reference__authors"">McFarland LV, Surawicz CM, Greenberg RN, Elmer GW, Moyer KA, Melcher SA, Bowen KE, Cox JL., </div><div class=""reference__journal"">The American Journal of Gastoenterology, </div><div class=""reference__year"">1995</div></li>]"
